STATE,Initial,First,Weeks,Weeks,Avg. Wkly,Benefits,Final,Month
Alabama,12918,5250,75299,53716,238,12559666,1215,January
Alaska,5105,2239,33450,33608,276,9065613,623,January
Arizona,17551,4050,77961,54980,234,12746879,1388,January
Arkansas,8998,4332,57284,34786,278,9276482,1005,January
California,222158,102237,1545854,1379887,342,465399622,34854,January
Colorado,10920,7678,89285,79850,457,35875664,2251,January
Connecticut,19233,17211,171441,173993,424,69302079,2415,January
Delaware,3587,1927,26754,23705,291,6716921,351,January
District of Columbia,2631,1557,25481,26026,360,9054380,563,January
Florida,25980,10188,155821,104997,254,26298500,6635,January
Georgia,45981,22040,149796,118532,318,34753862,4103,January
Hawaii,5898,2245,28325,26765,541,14009030,435,January
Idaho,7538,4840,45556,36334,349,12168166,746,January
Illinois,55133,48856,560072,486165,419,203262847,6714,January
Indiana,16945,10424,114038,86767,307,26475501,1002,January
Iowa,17461,18970,128238,154466,427,63087185,1795,January
Kansas,10128,4492,47458,36492,402,14287921,1024,January
Kentucky,14700,7319,98923,88066,377,33370778,1394,January
Louisiana,9085,3488,59245,45436,219,9859509,988,January
Maine,5369,3593,35544,30384,355,10598036,308,January
Maryland,16103,9674,122636,114270,353,39201549,1782,January
Massachusetts,30077,24606,302850,289124,546,153772334,4575,January
Michigan,54329,45059,356257,327537,331,105387584,4977,January
Minnesota,20490,21128,270549,235966,488,112770538,2646,January
Mississippi,5119,2167,39703,24399,213,5105134,538,January
Missouri,28576,11540,121674,97008,268,25322389,1914,January
Montana,5154,3964,45011,34202,401,12613971,625,January
Nebraska,4097,3272,21064,23201,360,8245833,248,January
Nevada,10527,5207,79939,66985,378,24541991,1332,January
New Hampshire,2452,1535,16528,13397,333,4280903,154,January
New Jersey,51886,36426,475753,442938,471,199116065,8232,January
New Mexico,4186,2463,41232,34258,347,11791563,714,January
New York,78414,47288,699858,619727,389,229081420,9878,January
North Carolina,16944,6954,84228,55360,272,14903247,3285,January
North Dakota,3691,3555,27456,27391,486,13231281,534,January
Ohio,35215,27496,291887,247073,387,94749130,2845,January
Oklahoma,7931,4202,67460,61718,408,24786816,1511,January
Oregon,21455,10646,136482,114697,422,47808577,1891,January
Pennsylvania,85069,55085,594580,589092,406,227247119,8036,January
Puerto Rico,8762,4684,84047,66758,163,10650492,1413,January
Rhode Island,5841,4953,46099,41343,383,15425900,480,January
South Carolina,16202,7754,77967,57228,258,14850928,1551,January
South Dakota,1426,1277,12809,10604,361,3755143,44,January
Tennessee,12588,7770,79488,71689,241,17102869,1312,January
Texas,70098,37528,587083,520543,434,217761822,13709,January
Utah,6647,4338,48344,40265,429,16981227,623,January
Vermont,2666,2138,21157,21406,401,8055507,137,January
Virgin Islands,157,130,1761,2001,418,817269,45,January
Virginia,13522,15716,96630,78203,313,24094491,1648,January
Washington,35855,16736,250356,225617,488,105675080,3096,January
West Virginia,7918,7604,72697,72567,341,23957295,928,January
Wisconsin,32573,19152,198941,160415,331,49514598,1308,January
Wyoming,2338,1510,13879,15558,417,6400982,201,January
United_States,1215627,736493,8912230,7877495,385,2947169688,152021,January
,,,,,,,,
Alabama,7573,3579,64999,49223,243,11809374,1219,february
Alaska,3580,1682,31550,30521,273,8129812,596,february
Arizona,13374,3821,74901,52195,234,12125650,1264,february
Arkansas,5799,2845,50731,31896,283,8702043,1065,february
California,161349,80823,1458078,1314529,339,440124177,30937,february
Colorado,8090,6406,90978,81307,460,36697950,2001,february
Connecticut,10832,8437,158909,160028,425,64687529,2062,february
Delaware,2384,1927,25602,22285,298,6507130,294,february
District of Columbia,1862,1369,25111,24633,361,8577751,524,february
Florida,20600,9948,134740,87142,254,21871939,5901,february
Georgia,22452,9896,108726,82260,319,25351748,3655,february
Hawaii,4420,1457,24715,22218,543,11701207,397,february
Idaho,4314,2775,42474,35486,354,11995382,1069,february
Illinois,39916,26143,507465,458921,427,195257947,5965,february
Indiana,11332,7529,110483,90819,305,27483490,1025,february
Iowa,9747,7935,124017,123117,429,51507094,1477,february
Kansas,6836,3338,48039,38270,404,15148629,920,february
Kentucky,10138,4627,92253,83149,384,32004993,1152,february
Louisiana,7017,2765,57236,41792,220,9127127,927,february
Maine,3070,2190,35658,31939,357,11261830,319,february
Maryland,11031,5848,116062,105857,358,36999215,1537,february
Massachusetts,24418,17153,302319,277813,550,149894988,3969,february
Michigan,23589,18348,311734,284774,330,92148951,4761,february
Minnesota,14774,10807,253169,224930,488,107804542,2768,february
Mississippi,3460,1544,33534,21688,215,4575876,470,february
Missouri,11623,7865,106721,88725,273,23615089,1779,february
Montana,3187,2046,43662,34910,397,12687359,699,february
Nebraska,2244,1923,22232,22433,366,8106354,270,february
Nevada,9815,4751,79172,65299,378,23891392,1467,february
New Hampshire,2036,953,14999,11984,339,3956431,137,february
New Jersey,35250,22337,444929,422175,474,193928290,7953,february
New Mexico,3152,1903,39921,32819,351,11399970,840,february
New York,74202,39651,674060,601813,390,225566954,8794,february
North Carolina,10865,5909,81416,53836,272,14463533,2893,february
North Dakota,1777,1713,27476,29252,486,14144219,718,february
Ohio,27945,15732,278938,240904,394,94202449,2603,february
Oklahoma,5940,3334,64502,57763,409,23281101,1570,february
Oregon,16643,6842,124432,106357,420,44055326,1800,february
Pennsylvania,53125,30677,555922,474973,413,188578190,6184,february
Puerto Rico,5940,4301,82388,67262,161,10621012,1680,february
Rhode Island,4673,2717,45658,42653,388,16294690,478,february
South Carolina,7914,3612,66077,49947,262,13179288,1531,february
South Dakota,708,632,12795,11077,366,3993825,63,february
Tennessee,8120,5007,77746,70751,241,16911647,1244,february
Texas,51410,29460,521947,442955,438,187184291,11961,february
Utah,4362,2777,47764,40160,430,16958570,654,february
Vermont,2487,1237,19667,19493,409,7543453,131,february
Virgin Islands,164,138,1744,1803,433,763177,38,february
Virginia,11061,12278,92372,76840,319,24147923,1650,february
Washington,24894,11140,222262,202883,481,93839034,2969,february
West Virginia,4655,4549,68054,70849,340,23535125,833,february
Wisconsin,25273,11626,176941,152306,337,48162522,1200,february
Wyoming,1753,1128,14303,15858,418,6539708,234,february
United_States,843175,479430,8291583,7284872,387,2753047296,138647,february
,,,,,,,,
Alabama,150556,10150,120663,64722,249,15883922,1467,March
Alaska,30261,2039,44616,34559,273,9211360,975,March
Arizona,193236,3914,127179,68110,234,15789860,1604,March
Arkansas,52031,16847,77649,55952,271,14436507,1196,March
California,1654010,215234,2071528,1836915,337,607273388,35608,March
Colorado,108375,16497,134319,113259,456,50499094,2451,March
Connecticut,82041,29040,282211,231201,406,88963548,2558,March
Delaware,39249,1603,43091,26261,293,7535040,442,March
District of Columbia,39175,3120,57223,31731,366,11270916,610,March
Florida,372727,8980,173330,85295,255,21443452,4715,March
Georgia,312520,63320,349609,164329,298,45305582,3644,March
Hawaii,83622,3417,55959,29207,543,15347485,436,March
Idaho,62296,11457,69568,46889,344,15004063,1391,March
Illinois,433235,48850,642494,600355,419,249840281,6871,March
Indiana,280444,23744,283933,132282,297,38368642,1241,March
Iowa,126040,15846,219395,121881,418,48848277,1896,March
Kansas,103119,17560,83086,59120,393,22658227,1295,March
Kentucky,215419,17875,159083,113840,388,44292633,3745,March
Louisiana,219100,46968,190889,108459,211,22215850,1057,March
Maine,61014,17850,80173,66540,350,22966053,649,March
Maryland,189982,20635,201030,149402,353,51412721,2006,March
Massachusetts,408645,70296,673536,393581,557,214894226,5142,March
Michigan,656570,28890,561430,408797,326,130314810,1576,March
Minnesota,282933,6462,521986,396810,452,171947134,4514,March
Mississippi,60907,13374,55357,39244,212,7990137,499,March
Missouri,196436,20527,215701,123544,269,32173474,2349,March
Montana,44005,1678,74691,48722,389,17511864,1065,March
Nebraska,52974,3939,53206,25475,353,8871941,363,March
Nevada,208869,63192,228658,172863,371,61027404,1859,March
New Hampshire,80054,13813,61846,34703,307,9973652,133,March
New Jersey,445367,91605,662261,606528,461,267829890,10761,March
New Mexico,62526,8082,67524,47608,345,16257887,649,March
New York,663655,226106,1301610,1018981,383,374767206,11166,March
North Carolina,332141,20052,223873,84470,268,21905328,3326,March
North Dakota,25974,3678,41524,35955,481,17213448,1154,March
Ohio,577485,111262,780467,428709,379,159834687,3240,March
Oklahoma,98783,21261,114553,95160,390,35958694,1833,March
Oregon,110509,21085,244341,145942,417,60120164,2382,March
Pennsylvania,565647,21152,889250,455008,410,179095930,6370,March
Puerto Rico,96452,3255,77642,64028,162,10258621,1746,March
Rhode Island,60006,30611,105351,99773,352,34686060,759,March
South Carolina,140472,4399,131836,58893,264,15610877,2038,March
South Dakota,13958,802,18338,12865,362,4584636,108,March
Tennessee,183318,25132,185412,114914,242,27155429,1692,March
Texas,556280,72051,820198,594997,427,243254973,13530,March
Utah,64843,6942,85719,48682,426,20357732,1078,March
Vermont,47822,4686,42897,27042,397,9982327,161,March
Virgin Islands,2615,148,1907,2080,448,910545,40,March
Virginia,235849,111068,186456,164498,301,48345684,2253,March
Washington,406263,56552,502462,392552,465,165709816,4151,March
West Virginia,27154,12764,92782,91684,325,28783672,988,March
Wisconsin,239501,29272,397118,207690,327,64132057,1791,March
Wyoming,12775,1921,20722,21100,414,8576790,337,March
United_States,11769240,1701003,14907682,10603207,378,3888603996,164910,March
,,,,,,,,
Alabama,300079,177498,743187,644488,255,162659058,4812,April
Alaska,49769,31379,173288,148127,258,36817560,1259,April
Arizona,323390,162957,720215,589169,274,157639850,2057,April
Arkansas,139108,78216,389301,327144,237,74120948,1341,April
California,2354590,2040331,9901114,9005626,315,2816379041,47863,April
Colorado,255141,212161,821905,814630,391,313950730,3338,April
Connecticut,217671,80453,1094731,934465,295,273858281,3071,April
Delaware,43886,2259,164403,34278,277,9296344,492,April
District of Columbia,42011,40353,184434,193883,369,70098632,703,April
Florida,606591,295866,918981,767606,239,182971440,4859,April
Georgia,1353948,447682,2911704,1947987,269,503316771,4917,April
Hawaii,123958,57892,282942,207416,506,102776787,392,April
Idaho,60180,34357,269440,170528,303,48596669,1330,April
Illinois,519269,437295,2139427,1981808,357,704812932,7853,April
Indiana,349939,262912,1312658,1072748,273,286230600,739,April
Iowa,157324,135641,633362,652623,340,213451863,3338,April
Kansas,120681,88537,431433,357769,361,126408084,1420,April
Kentucky,417539,208678,958440,860305,357,306955618,606,April
Louisiana,330370,221108,992350,935016,195,175606961,1141,April
Maine,46687,48098,279109,264042,333,86870602,910,April
Maryland,267768,143915,840406,687573,333,224250704,2240,April
Massachusetts,353459,383921,1943962,1723282,531,909261601,7201,April
Michigan,684799,588342,3364150,2711721,333,882611331,7834,April
Minnesota,272310,3186,1581150,1444368,384,542283199,5915,April
Mississippi,157712,91489,457264,363510,206,72609861,630,April
Missouri,306982,171944,912413,854370,252,209548355,2543,April
Montana,45957,1311,224921,128678,368,44249154,1152,April
Nebraska,54881,21400,253934,132313,302,39050931,564,April
Nevada,207147,171822,1014528,825512,359,289677261,2221,April
New Hampshire,89948,58333,352524,205963,264,52551887,186,April
New Jersey,565952,320523,2024101,1817560,431,759617569,10984,April
New Mexico,61652,64270,300387,294877,314,89764660,982,April
New York,1168446,886925,6034668,4764396,362,1688734387,13209,April
North Carolina,478717,341830,1502185,1333269,242,309582744,5253,April
North Dakota,34781,35675,130882,144361,392,55895350,1437,April
Ohio,498852,392621,2634666,2066724,341,694177442,274,April
Oklahoma,237416,113553,484317,432471,101,44513419,1751,April
Oregon,212272,139256,969995,609397,443,267219766,2650,April
Pennsylvania,772678,668855,3968986,3206808,360,1110794776,9667,April
Puerto Rico,142673,86016,452050,375032,415,155040165,1899,April
Rhode Island,71616,57364,354871,348741,328,112542105,959,April
South Carolina,296188,201522,816746,724527,254,184495960,2575,April
South Dakota,19717,17816,81021,63742,292,18070357,143,April
Tennessee,269834,211730,1083174,1002427,228,222199975,2010,April
Texas,1197868,702478,3614022,2880564,358,990367706,15150,April
Utah,81018,63202,347078,227991,344,76716364,1250,April
Vermont,41114,46715,238945,218780,312,78074377,307,April
Virgin Islands,2654,883,5228,4880,409,1961537,63,April
Virginia,386126,597986,1294207,1244736,272,434760672,2588,April
Washington,475937,257741,1827312,1582263,448,661287513,5154,April
West Virginia,110111,73127,405736,354632,257,97268524,1420,April
Wisconsin,243208,183828,1225251,873386,297,242340494,3149,April
Wyoming,17150,11501,59752,60318,375,22277999,415,April
United_States,17639074,12174753,66123256,55618830,333,18236616916,206216,April
,,,,,,,,
Alabama,106301,70384,899144,820275,250,200641776,7455,May
Alaska,35424,11031,206439,171614,248,40806922,1306,May
Arizona,120426,59957,1034754,782984,280,213556501,2285,May
Arkansas,46153,31498,544426,465832,220,95966155,2403,May
California,1001409,872374,13411466,13118895,306,3940619018,58979,May
Colorado,75087,88883,1167327,1029297,375,376803227,3476,May
Connecticut,92695,67307,1297579,1033927,322,320468266,3685,May
Delaware,20297,1519,217956,39333,265,10193944,532,May
District of Columbia,21618,13528,295395,234250,358,81790559,883,May
Florida,197254,67279,296571,221588,249,54894163,5469,May
Georgia,836060,207520,3225454,2784707,266,711079787,7518,May
Hawaii,45484,63579,499385,573761,466,263095774,633,May
Idaho,21133,13969,259460,198166,287,51800727,2024,May
Illinois,271710,219574,2655942,2668301,333,885703295,10559,May
Indiana,123244,118127,1532471,1417020,262,363303243,1987,May
Iowa,53242,54312,718761,703289,328,219043360,2682,May
Kansas,47905,88537,433566,415321,344,139286355,1055,May
Kentucky,260797,66741,960763,955822,332,317705362,1675,May
Louisiana,124310,73745,1307256,1172589,187,206277488,1476,May
Maine,43670,26954,519523,397652,335,130809248,1026,May
Maryland,149392,49175,1196359,932907,322,293545863,2677,May
Massachusetts,162457,155950,2716786,2170326,445,966147387,8583,May
Michigan,224712,285260,3871421,3764572,318,1156963162,14172,May
Minnesota,125273,988,1750701,1516802,375,552288116,6582,May
Mississippi,103087,60675,947444,779289,193,145555947,889,May
Missouri,117386,55626,1168375,978156,246,231334057,3561,May
Montana,14828,629,227897,159586,341,46952310,922,May
Nebraska,24248,30316,242626,308615,339,85288158,879,May
Nevada,74469,75542,1607519,1436268,355,497384019,3037,May
New Hampshire,33992,31013,403862,326427,254,79401690,247,May
New Jersey,156391,118392,2530133,2369193,419,961960737,14047,May
New Mexico,28341,27130,454851,433660,313,130985306,1384,May
New York,1198827,421141,8235851,6543512,346,2203963859,19486,May
North Carolina,199809,142957,2115314,1835838,223,390217587,5811,May
North Dakota,11155,10931,130666,141987,407,56494149,732,May
Ohio,182904,166334,2735881,2286241,334,746695549,21,May
Oklahoma,219000,90418,720392,679524,44,30110932,2327,May
Oregon,116055,62553,1133787,817713,361,291508766,2647,May
Pennsylvania,230456,205990,4555994,3322950,345,1092473624,10762,May
Puerto Rico,131246,56703,669426,626593,161,100262712,2202,May
Rhode Island,17057,12222,351781,337720,318,104942870,1235,May
South Carolina,99063,65779,1128588,971340,247,240203804,3648,May
South Dakota,9528,6957,98953,75054,275,19708822,173,May
Tennessee,110308,104662,1246966,1314249,269,280972012,2869,May
Texas,570642,460150,5436702,4896237,351,1628480085,18027,May
Utah,26684,31213,419256,325967,343,107522258,1136,May
Vermont,11531,10525,235579,207573,349,67334411,395,May
Virgin Islands,845,2065,14353,14111,359,4947051,83,May
Virginia,175962,202058,1860719,1493926,261,379537658,2928,May
Washington,344973,78109,2613941,1997814,497,930347288,6415,May
West Virginia,22408,23149,432298,396467,243,92441987,1704,May
Wisconsin,135138,35508,1292605,998768,290,267649268,4296,May
Wyoming,10774,5027,75224,67541,378,24990430,394,May
United_States,8583160,5301965,84105888,73731549,321,22832457044,261379,May
